dataset,category,policy,guarded,detector,accuracy_difference,macro_f1_difference,poison_admission_rate_difference,clean_withhold_rate_difference
RBF,2,immediate,True,hellinger,-3.3268271389071287,-3.4480569405092183,-10.007268426571562,10.051120225465999
RBF,3,confirmed,False,adwin,-6.603725479479479,-6.705379558214841,0.0,0.0
RBF,3,confirmed,False,d3_oof,-1.4331977758617167,-1.4875612061731565,0.0,0.0
RBF,3,confirmed,False,hddm_w,-9.481661030065554,-9.703897049245128,0.0,0.0
RBF,3,confirmed,False,hellinger,-6.100480186092302,-6.257286403075843,0.0,0.0
RBF,3,confirmed,True,adwin,-0.6748267766610416,-0.7165430800126216,-17.552125893670564,1.9323922018993827
RBF,3,confirmed,True,d3_oof,-1.0451174791232993,-1.0439132848276689,-8.378075646217978,1.8243645378989235
RBF,3,confirmed,True,hddm_w,-4.616081393166627,-4.815253865114777,-18.702465426000998,9.607335446306108
RBF,3,confirmed,True,hellinger,-1.5593194720730583,-1.6638866332508215,-12.94158728257895,4.954824962102993
RBF,3,immediate,False,adwin,-14.259758044828793,-14.742422529237636,0.0,0.0
RBF,3,immediate,False,d3_oof,-7.04740408745698,-7.2127774667697935,0.0,0.0
RBF,3,immediate,False,hddm_w,-15.057514101568556,-15.505774126169086,0.0,0.0
RBF,3,immediate,False,hellinger,-12.048751995981755,-12.409128857315453,0.0,0.0
RBF,3,immediate,True,adwin,-9.983430519438384,-10.425710554806981,-46.33700254358146,18.262560400674445
RBF,3,immediate,True,d3_oof,-1.7068234143755356,-1.77569429506453,-8.724578475924238,3.96800718894011
RBF,3,immediate,True,hddm_w,-11.789316920972949,-12.274398594248746,-41.772599233435585,23.32630860659393
RBF,3,immediate,True,hellinger,-3.1247791401951446,-3.165940176510347,-16.03631006414218,8.819910165304002
RBF,4,confirmed,False,adwin,-6.585262593889101,-6.587827543136396,0.0,0.0
RBF,4,confirmed,False,d3_oof,0.050712460824238935,0.07397388865381105,0.0,0.0
RBF,4,confirmed,False,hddm_w,-9.35714660178922,-9.431776289422919,0.0,0.0
RBF,4,confirmed,False,hellinger,-7.349930530062243,-7.3951448035871685,0.0,0.0
RBF,4,confirmed,True,adwin,-3.0201606156735283,-3.0244347384645245,-15.528948823315801,5.875508744341356
RBF,4,confirmed,True,d3_oof,0.23942505306860928,0.24108316886751377,1.2195695017227839,1.3023305977212825
RBF,4,confirmed,True,hddm_w,-5.059708270496828,-5.3185909302958825,-4.588005444679289,8.292848683197613
RBF,4,confirmed,True,hellinger,-1.4257571177327584,-1.474695871660751,0.0789066579280832,4.137198485495543
RBF,4,immediate,False,adwin,-14.832976621992877,-15.22304529916998,0.0,0.0
RBF,4,immediate,False,d3_oof,-8.112706680590916,-8.210434581922025,0.0,0.0
RBF,4,immediate,False,hddm_w,-15.737311391159594,-16.077014872184154,0.0,0.0
RBF,4,immediate,False,hellinger,-14.671410339228922,-15.045393339101663,0.0,0.0
RBF,4,immediate,True,adwin,-9.88351693529937,-10.180252515215093,-46.19899192833986,21.155267548115457
RBF,4,immediate,True,d3_oof,-1.425488980017094,-1.4463823079645295,-4.135289199557843,5.226681766318699
RBF,4,immediate,True,hddm_w,-13.01587901707468,-13.43995755160733,-46.5092214538162,26.948798535467677
RBF,4,immediate,True,hellinger,-6.509605329499176,-6.733357582159591,-9.996729052404406,10.05398571847867
RBF,5,confirmed,False,adwin,-6.170764885105181,-6.32073674984147,0.0,0.0
RBF,5,confirmed,False,d3_oof,-1.51883605808543,-1.6601784463446625,0.0,0.0
RBF,5,confirmed,False,hddm_w,-9.008015645523592,-9.237819074029863,0.0,0.0
RBF,5,confirmed,False,hellinger,-5.067675917253518,-5.204002827697,0.0,0.0
RBF,5,confirmed,True,adwin,-0.4520431909871873,-0.5709359895630817,-5.559483645032366,-2.0890593350518682
RBF,5,confirmed,True,d3_oof,-0.049633190326288844,-0.05047896030441942,-0.5733097649710528,0.2135295083843932
RBF,5,confirmed,True,hddm_w,-1.3693460870481806,-1.5199513276017909,2.5784448820579917,-0.014551168315457552
RBF,5,confirmed,True,hellinger,0.003818106177577718,-0.12357652946163682,-5.58667476585013,-2.251775130177897
RBF,5,immediate,False,adwin,-14.519332122938252,-15.058125184704371,0.0,0.0
RBF,5,immediate,False,d3_oof,-9.43233294669236,-9.783033552017505,0.0,0.0
RBF,5,immediate,False,hddm_w,-15.423618601154944,-15.921053981457243,0.0,0.0
RBF,5,immediate,False,hellinger,-10.912641861592894,-11.20839183627811,0.0,0.0
RBF,5,immediate,True,adwin,-10.904166938232086,-11.34310681460613,-30.30254413753866,14.79923901212098
RBF,5,immediate,True,d3_oof,0.7118072816748219,0.7127186414037016,5.283635778791381,0.7804841628431806
